# epoch 0  H=7.9973 C=8.0032 HO=-0.0032  A(t)=0
         1  ..$.f...sh..xz..  ffff24a4660cb68b736806b8787ad8fe
         1  ....X........w..  fffecfcf5811a518a39feca2ab77f0d0
         1  ..@......f.6P...  fffe40b596afa4f4b866d8365080e4f6
         1  ..A_N.B...g.P...  fffc415f4ea042a31bc2670b501ae308
         1  ..%..^0..._.|e..  fffb2594e75e301bc5de5fd47c65f3c3
         1  ........qNy....9  fff99ee5f9cfad7f714e79008c0fd939
         1  ..c.....Gw#.....  fff8639f080b0ca14777239f879f099d
         1  ...C.........~..  fff8124395ddeacc8feed1d0157ec4a6
         1  .......o..UB.q].  fff7f3da94ca9d6fd614554291715d0c
         1  .....C$..\=..*O.  fff71482134324eea75c3d80e02a4f8f
# epoch 50  H=7.9948 C=8.0032 HO=-0.0057  A(t)=0
         1  ....Z[.==....];D  ffff89c95a5bee3d3dea1ca89e5d3b44
         1  .....v..m.qt....  ffff82b8ff76a3956dcd7174ff8189ff
         1  ..P<...mu...|...  ffff503cc3a3ff6d75b2ff117cec80da
         1  ....X........w..  fffecfcf5811a518a39feca2ab77f0d0
         1  ....+.Q'..N.I$..  fffe90032bed5127ee0d4e11492402bf
         1  ..@......f.6P...  fffe40b594aea4f3b866d8365080e3f6
         1  ..#.f...qh..xz..  fffe23a4660cb68b716806b7787ad8fe
         1  ..A_N.B...g.P...  fffc415f4ea042a31bc2670b501ae308
         1  ..'..^1..._.}f..  fffc2794e75e311bc5df5fd47d66f3c5
         1  ...GG].......#L.  fffa9b47475ddbf6cce4eb0d9d234ca9
# epoch 100  H=7.9910 C=8.0032 HO=-0.0095  A(t)=0
         1  ....Z[.==....];D  ffff89c95a5bee3d3dea1ca89e5d3b44
         1  .....v..m.qt....  ffff82b8ff76a3956dcd7174ff8189ff
         1  ..P<...mu...|...  ffff503cc3a3ff6d75b2ff117cec80da
         1  ....X........w..  fffecfcf5811a518a39feca2ab77f0d0
         1  ..@......e.6P...  fffe40b594aea4b1b865d8365080e3f6
         1  ..A_N.B...g.P...  fffc415f4ea042a31bc2670b501ae308
         1  ..''.^1..._.}f..  fffc2727e75e311bc5df5fd47d66f3c5
         1  ...GG].......#L.  fffa9b47475ddaf6cbe4eb0d9c234ca8
         1  .....u\H...x...h  fffa01d18c755c48d213b178e4bc1168
         1  ........qNy....9  fff99ee5f9cfad7f714e79008c0fd939
# epoch 150  H=7.9875 C=8.0032 HO=-0.0130  A(t)=0
         1  ....Z[.==....];F  ffff89c95a5bee3d3dea1ca89e5d3b46
         1  .....v..m.qtc...  ffff82b8ff76a3956dcd7174638189ff
         1  ..P<...mu...|...  ffff503cc3a3ff6d75b2ff117cec80da
         1  ....X...........  fffecfcf5811a518a39feca2ab9cf0d0
         1  ..A......e.7P...  fffe41b596aea4b2b865d9375080e4f6
         1  ..A_N.B...g.P...  fffc415f4ea042a31bc2670b501ae308
         1  ..''.^1..._.}f..  fffc2727e75e311bc5df5fd47d66f3c5
         1  ...GG].......#L.  fffa9b47475ddaf6cbe4eb0d9c234ca8
         1  .....u\H...x...h  fffa01d18c755c48d213b178e4bc1168
         1  ........qNy....9  fff99ee5f9cfad7f714e79008c0fd939
# epoch 200  H=7.9852 C=8.0032 HO=-0.0153  A(t)=0
         1  ......Rx.o.[.#b*  ffffa6b500025278ff6f005b0123622a
         1  ....Z[.==....];H  ffff89c95a5bee3d3dea1ca89e5d3b48
         1  .....v..m.qtc...  ffff82b8ff76a3956dcd7174638189ff
         1  ..P<...mu...|...  ffff503cc3a3ff6d75b2ff117cec80da
         1  ....X...........  fffecfcf5811a518a39feca2ab9cf0d0
         1  ..A......e.8P...  fffe41b596aea4b2b865d9385080e4f6
         1  ..A_N.B...g.P...  fffc415f4ea042a31bc2670b501ae308
         1  ..''.^1..._.}f..  fffc2727e75e311bc5df5fd47d66f3c5
         1  ...GG].......#L.  fffa9b47475ddaf6cbe4eb0d9c234ca8
         1  .....u\H...x...h  fffa01d18c755c48d213b178e4bc1168
# epoch 250  H=7.9836 C=8.0032 HO=-0.0168  A(t)=0
         1  ....Z[.==....];H  ffff89c95a5bee3d3dea1ca89e5d3b48
         1  .....v..m.qtc...  ffff82b8ff76a3956dcd7174638189ff
